subject_id,session_id,scan_id
002,bl01,VALEV_002_1_161831
002,sd01,VALEV_002_3_161831
002,sd02,VALEV_002_4_161831
002,sd03,VALEV_002_5_161831
003,sd01,VALEV_003_3_161831
003,sd02,VALEV_003_4_161831
006,bl01,VALEV_006_1_161831
007,bl01,VALEV_007_1_161831
007,sd02,VALEV_007_4_161831
007,sd03,VALEV_007_5_161831
013,bl01,VALEV_013_1_161831
013,sd01,VALEV_013_3_161831/BRAIN_LEGGET_20210209_095529_325000
013,sd02,VALEV_013_3_161831/BRAIN_LEGGET_20210330_121548_840000
013,sd03,VALEV_013_5_161831
014,bl01,VALEV_014_1_161831
014,sd01,VALEV_014_3_161831
014,sd02,VALEV_014_4_161831
014,sd03,VALEV_014_5_161831
015,bl01,VALEV_015_1_161831
015,sd01,VALEV_015_3_161831
015,sd02,VALEV_015_4_161831
015,sd03,VALEV_015_5_161831
016,bl01,VALEV_016_1_161831
017,bl01,VALEV_017_1_161831
017,sd01,VALEV_017_3_161831
018,bl01,VALEV_018_1_161831
018,sd01,VALEV_018_3_161831
018,sd02,VALEV_018_4_161831
018,sd03,VALEV_018_5_161831
019,sd03,VALEV_019_5_161831
020,bl01,VALEV_020_1_161831
020,sd01,VALEV_020_3_161831
020,sd02,VALEV_020_4_161831
020,sd03,VALEV_020_5_161831
021,bl01,VALEV_021_1_161831
021,sd01,VALEV_021_3_161831
021,sd03,VALEV_021_5_161831
027,bl01,VALEV_027_1_161831
029,bl01,VALEV_029_1_161831
029,sd01,VALEV_029_3_161831
029,sd02,VALEV_029_4_161831
030,sd01,VALEV_030_3_161831
030,sd02,VALEV_030_4_161831
030,sd03,VALEV_030_5_161831
035,bl01,VALEV_035_1_161831
036,bl01,VALEV_036_1_161831
036,sd02,VALEV_036_4_161831
036,sd03,VALEV_036_5_161831
037,bl01,VALEV_037_1_161831
037,sd01,VALEV_037_3_161831
037,sd02,VALEV_037_4_161831
037,sd03,VALEV_037_5_161831
038,bl01,VALEV_038_1_161831
038,sd01,VALEV_038_3_161831
038,sd02,VALEV_038_4_161831
038,sd03,VALEV_038_5_161831
039,bl01,VALEV_039_1_161831
039,sd01,VALEV_039_3_161831/BRAIN_LEGGET_20220427_130716_081000
039,sd02,VALEV_039_4_161831
043,bl01,VALEV.043.1
043,sd01,VALEV.043.3
043,sd03,VALEV.043.5
045,bl01,VALEV.045.1
045,sd01,VALEV.045.3
045,sd03,VALEV.045.5
049,bl01,VALEV.049.1
049,sd01,VALEV.049.3
049,sd02,VALEV.049.4
050,bl01,VALEV.050.1
050,sd02,VALEV.050.4
050,sd03,VALEV.050.5
057,bl01,VALEV.057.1
057,sd01,VALEV.057.3
060,bl01,VALEV.060.1
060,sd01,VALEV.060.3
060,sd02,VALEV.060.4
060,sd03,VALEV.060.5
065,sd01,VALEV.065.3
065,sd02,VALEV.065.4
065,sd03,VALEV.065.5
066,bl01,VALEV.066.1
066,sd01,VALEV.066.3
066,sd02,VALEV.064.4
066,sd03,VALEV.066.5
067,sd03,VALEV.067.5
