subject_id,session_id,scan_id
001,bl01,VALEV_001_2_161831
002,bl01,VALEV_002_2_161831
003,bl01,VALEV_003_2_161831
007,bl01,VALEV_007_2_161831
013,bl01,VALEV_013_2_161831
014,bl01,VALEV_014_2_161831
015,bl01,VALEV_015_2_161831
016,bl01,VALEV_016_2_161831
017,bl01,VALEV_017_2_161831
018,bl01,VALEV_018_2_161831
019,bl01,VALEV_019_2_161831
020,bl01,VALEV_020_2_161831
021,bl01,VALEV_021_2_161831
027,bl01,VALEV_027_2_161831
029,bl01,VALEV_029_2_161831
030,bl01,VALEV_030_2_161831
035,bl01,VALEV_035_2_161831
036,bl01,VALEV_036_2_161831
037,bl01,VALEV_037_2_161831
038,bl01,VALEV_038_2_161831
039,bl01,VALEV_039_2_161831
043,bl01,VALEV.043.2
049,bl01,VALEV.049.2
050,bl01,VALEV.050.2
056,bl01,VALEV.056.2
060,bl01,VALEV.060.2
065,bl01,VALEV.065.2
066,bl01,VALEV.066.2
067,bl01,VALEV.067.2
