subject_id,session_id,scan_id
001,bl01,VALEV_001_1_161831
007,sd01,VALEV_007_3_161831
019,bl01,VALEV_019_1_161831
019,sd01,VALEV_019_3_161831
019,sd02,VALEV_019_4_161831
021,sd02,VALEV_021_4_161831
029,sd03,VALEV_029_5_161831
030,bl01,VALEV_030_1_161831
036,sd01,VALEV_036_3_161831
039,sd03,VALEV_039_5_161831
045,sd02,VALEV.045.4
049,sd03,VALEV.049.5
050,sd01,VALEV.050.3
056,bl01,VALEV.056.1
057,sd02,VALEV.057.4
057,sd03,VALEV.057.5
065,bl01,VALEV.065.1
067,bl01,VALEV.067.1
067,sd01,VALEV.067.3
067,sd02,VALEV.067.4
